;274768;
мм;100763;
не;64076;
регургитация;39735;
мс;36018;
клапан;31852;
ст;27838;
ЛЖ;26937;
створки;25049;
%;24602;
рт;24330;
уплотнены;20903;
мл;20225;
в;17667;
желудочек;17391;
Vmax;16638;
степени;15926;
стенки;15025;
и;14889;
предсердие;14087;
изменены;13866;
приклапанная;13658;
ФВ;13413;
ЧСС;13229;
ритм;12858;
dPmax;12409;
на;12374;
синусовый;11855;
МЖП;11684;
Аорта;11509;
Левый;10032;
ЗАКЛЮЧЕНИЕ;9807;
Трикуспидальный;9569;
давление;9346;
изменена;9343;
Легочная;9228;
артерия;8778;
индекс;8220;
систолическое;8177;
см;8057;
Аортальный;7875;
Митральный;7869;
кинетика;7810;
МПП;7777;
Левое;7718;
отсутствует;7654;
Симпсон;7603;
расширена;7565;
миокарда;7473;
функция;7450;
Правый;7204;
КДО;7192;
объёма;7084;
нарушена;6994;
легко;6851;
КДР;6764;
Глобальная;6752;
ЗС;6658;
Ve;6457;
Пульмональный;6372;
КСО;6341;
Правое;6279;
умеренно;6154;
Va;5878;
снижена;5863;
УО;5675;
клапана;5648;
по;5579;
позиция;5553;
парастернальная;5550;
Ve\Va;5454;
левого;5417;
мин;5380;
Нижняя;5361;
КСР;5314;
утолщены;5286;
сегментов;5286;
полая;5280;
вена;5280;
расчётное;5191;
аорта;5139;
удв;5134;
дилатация;5105;
кв;5081;
dPtr;5052;
восходящая;5035;
г;5026;
камерная;5020;
вдохе;4963;
расширены;4886;
без;4865;
артерии;4832;
Диастолическая;4783;
млм;4776;
Тейхольц;4730;
повышено;4689;
–;4639;
легочной;4601;
ПЖ;4587;
ФУ;4568;
за;4559;
м;4486;
дисфункция;4394;
Стенки;4348;
предсердия;4336;
спадение;4296;
перикарда;4250;
Митральная;4231;
митрального;4159;
ИММ;4153;
полости;4076;
стенка;4045;
ММ;3929;
аортального;3907;
с;3854;
выявлено;3803;
желудочка;3771;
сердца;3755;
систолическая;3717;
Уплотнены;3621;
особенностей;3544;
передняя;3500;
расширен;3497;
Tdec;3467;
Расчетное;3395;
Кровоток;3381;
гкв;3315;
правого;3264;
—;3256;
ускорен;3243;
изменен;3240;
счет;3189;
нижней;3177;
Перикард;3130;
аорты;3125;
Трикуспидальная;3073;
EEm;2978;
ее;2864;
камеры;2837;
уровне;2825;
кальцинированы;2799;
гипертрофия;2782;
жидкости;2703;
утолщен;2699;
Миокард;2693;
верхушки;2605;
отделе;2558;
типу;2558;
боковой;2498;
фрагментарно;2486;
TAPSE;2485;
до;2426;
нарушения;2396;
восходящем;2377;
задней;2337;
передней;2315;
сократительная;2287;
полулуния;2237;
Створки;2214;
акинезии;2192;
стенок;2162;
срединных;2111;
МК;2064;
сократимости;2061;
ЛП;2031;
его;2029;
протокол;2028;
Короткий;1950;
Правые;1950;
