;48030;
операции;41668;
в;22584;
атм;14950;
мм;14774;
начала;14248;
мл;13854;
р;13313;
Анестезия;12749;
время;12439;
исследования;12380;
окончания;11863;
на;11679;
a;11618;
x;11350;
Дата;11150;
не;10329;
и;10198;
N;9727;
через;8967;
контролем;8621;
с;8259;
ПМЖА;8227;
трети;7770;
%;7385;
мин;7285;
Срочность;7227;
анестезия;7145;
основная;7138;
дата;7123;
ведущая;7123;
продолжительность;7123;
местная;7049;
Описание;7036;
ПКА;6972;
без;6967;
БК;6864;
КГ;6861;
область;6829;
Доступ;6641;
по;6448;
вещество;6396;
Контрастное;6395;
Операция;6384;
В;6303;
Возраст;6270;
периферию;6229;
проводник;6142;
Контрольная;6122;
ИБ;5987;
проведен;5949;
удовлетворительный;5944;
коронарный;5909;
устье;5870;
Оператор;5842;
имплантирован;5755;
установлен;5748;
признаков;5666;
тромбоза;5664;
стентирования;5629;
АД;5573;
Под;5561;
Кровоток;5544;
Через;5497;
гайдкатетер;5467;
Осложнений;5316;
палату;5295;
было;5175;
F;5151;
Время;5122;
Galeo;5052;
стент;5049;
стентированием;5009;
TIMI;4999;
пункции;4992;
dextrа;4974;
Интродьюсер;4973;
Рекомендовано;4957;
Lidocaini;4882;
III;4852;
ОА;4779;
SH;4702;
Протокол;4655;
Область;4647;
сегмент;4639;
часа;4598;
диссекции;4591;
измененный;4532;
а;4439;
менее;4406;
№;4323;
х;4305;
терапия;4241;
ФИО;4223;
проксимальной;4192;
плановая;4190;
Ультравист;4175;
ЛКА;4161;
Energy;4141;
дезагрегантная;4140;
стеноза;4059;
со;4023;
ОРИТ;3963;
двойная;3963;
ДА;3756;
средней;3730;
–;3671;
место;3643;
результат;3622;
radialis;3621;
удалить;3462;
ProKinetic;3439;
Врач;3339;
стента;3323;
femoralis;3297;
Переведен;3253;
ангиопластика;3190;
удален;3177;
под;3173;
экстренная;3165;
коронарная;3040;
из;3031;
оптимальный;3020;
манжету;2977;
месяцев;2959;
Band;2810;
TR;2748;
манжеты;2744;
лет;2731;
часов;2694;
ВСК;2665;
Предилатация;2548;
МА;2497;
фиксирован;2330;
BMS;2293;
PCI;2258;
M;2247;
до;2212;
сДата;2199;
ее;2184;
Давящая;2183;
воздуха;2161;
манжета;2141;
VL;2135;
давящую;2115;
S;2102;
LAD;2083;
или;2075;
интродьюсера;1965;
окклюзии;1954;
швом;1877;
Дмитрий;1871;
режим;1861;
постельный;1843;
удаление;1813;
кожным;1781;
повязка;1761;
устья;1742;
Оперировали;1730;
Sprinter;1710;
области;1701;
ветви;1636;
Legend;1631;
RCA;1627;
зоны;1620;
артерии;1618;
субокклюзии;1589;
полная;1541;
Перевод;1534;
На;1526;
при;1520;
от;1502;
Асептическая;1499;
дистальной;1490;
достигнута;1485;
ФГБУ;1453;
стентирование;1409;
г;1394;
визуально;1391;
dextra;1374;
стенозов;1351;
Постдилатация;1350;
ОАРИТ;1349;
основной;1347;
ml;1341;
RX;1337;
Моносов;1331;
p;1328;
летN;1315;
недель;1289;
аппозиция;1270;
DES;1249;
снять;1247;
Apex;1212;
места;1205;
Александрович;1202;
артерия;1199;
строгий;1193;
LCx;1193;
Emerge;1190;
года;1173;
Алмазова;1155;
им;1147;
overlapping;1126;
стеноз;1115;
Отделение;1111;
Николаевич;1107;
периферия;1083;
ВА;1079;
кровоток;1071;
Марукян;1070;
Шапошников;1051;
диссекций;1045;
LCA;1009;
после;1003;
Федеральный;988;
Зверев;980;
Фролов;979;
ангиографический;966;
JR;958;
имплантированы;950;
ВВ;948;
Исследование;948;
ПРОТОКОЛ;946;
ОПЕРАЦИИ;945;
контроль;928;
центр;926;
терапии;920;
двойной;900;
удовлетворительная;900;
—;885;
Юрьевич;882;
Сергеевич;876;
предилатация;874;
покрытием;863;
инфузия;858;
Козулин;856;
прием;852;
Серков;849;
Рекомендации;847;
дезагрегантной;845;
Выполнена;825;
стенозирования;814;
гепарина;810;
Quantum;805;
Евгений;804;
стенты;801;
гN;797;
'';795;
дистально;772;
Краснов;768;
ДЛ;765;
ЗМЖВ;764;
прямым;760;
гемостазе;759;
РХМДиЛ;756;
ко;750;
Михаил;749;
месяца;739;
Зав;735;
адекватном;734;
проксимально;720;
Гемостаз;717;
Владимир;717;
коронарография;693;
краевых;691;
Ко;685;
Топтыгин;671;
ячейки;655;
Процедура;654;
Последовательная;649;
бассейне;649;
Лучанинов;644;
Sapphire;631;
Львович;627;
значимого;626;
Приворотский;620;
РВВ;616;
рестеноза;608;
бифуркации;607;
Оптирей;606;
НВ;599;
РТСА;597;
Pilot;596;
Стуковенков;586;
ветвям;586;
коронаропластика;585;
годаN;585;
правой;582;
нет;581;
Кузнецов;575;
МЮ;573;
стентов;572;
Анатольевич;571;
Строгий;570;
PROKinetic;569;
CLS;567;
мес;565;
Гурьев;564;
FR;564;
Гуськов;563;
наблюдение;562;
Антон;559;
Переведена;556;
Павлов;550;
Периферия;547;
коронарного;543;
РХМДиЛ№;538;
к;536;
о;535;
Алексей;535;
ОРХМДиЛ;534;
II;533;
треть;527;
ствола;527;
Есипович;524;
ВС;523;
АС;520;
части;513;
ослабить;513;
сердца;509;
ФМИЦ;503;
тромботической;502;
крови;502;
этапом;501;
левой;494;
";490;
гемодинамически;485;
Export;485;
сутки;484;
Сергей;483;
Владимирович;478;
методике;476;
По;474;
Контроль;473;
Ultravist;470;
Nobori;470;
последовательно;468;
Вачаганович;467;
Нарек;467;
эндокринологии;466;
медицинский;460;
для;460;
исследовательский;460;
Omega;458;
контрольной;453;
М;452;
ВЮ;451;
инфильтрационная;447;
антеградный;444;
ИД;443;
ЕН;439;
Богук;435;
перекрытия;434;
вторым;433;
час;426;
её;425;
''Ультравист;423;
катетером;423;
Интродюсер;421;
периферии;418;
АЧТВ;412;
CRE;408;
Викентий;407;
МВ;406;
РН;405;
При;400;
Maverick;400;
проводника;398;
ячейку;395;
порядке;389;
"Galeo;386;
манжетой;386;
ОРХМДиЛ№;382;
ангиопластики;381;
РФ;380;
МЗ;380;
Стрелков;380;
первые;378;
Orsiro;377;
Integrity;376;
проведены;375;
проводники;375;
LM;374;
Novocaini;373;
Русанов;372;
s;371;
аорты;371;
плановом;371;
помощи;367;
реваскуляризации;364;
масс;363;
решение;362;
стресс;360;
отд;359;
Валерьевич;359;
вв;357;
протяжении;357;
АН;355;
давлением;353;
успеха;349;
НКО;349;
год;348;
Tazuna;347;
Прямым;346;
Федерального;344;
ГА;343;
Александр;343;
DA;343;
СЗ;342;
коронарные;342;
СС;342;
тромботических;341;
Минкоилов;340;
шунт;336;
высокотехнологичным;335;
видам;335;
медицинской;335;
Евгеньевич;335;
Cre;332;
повязку;332;
перекрытием;332;
лечения;330;
*;328;
"Ultravist;326;
момента;325;
суточная;324;
ЕВ;324;
Восстановлен;324;
визуализируется;323;
всем;322;
гемостаза;321;
ЭХО;318;
ст;318;
заполняется;315;
формированием;311;
''Оптирей;311;
изменения;311;
Miracle;307;
вопроса;307;
измененную;300;
дальнейшей;298;
Ствол;297;
Удаление;297;
изменений;295;
кровоснабжения;293;
NC;293;
коронарных;293;
Левая;291;
Asahi;286;
стенокардии;285;
CID;285;
сегменте;283;
С;283;
проксимальную;283;
агенства;281;
AL;281;
Тип;281;
зав;278;
полости;278;
Огибающая;276;
aВремя;276;
интегрилина;275;
Правая;274;
диффузные;274;
Передняя;273;
межжелудочковая;273;
Fielder;271;
dex;269;
катетер;268;
хронической;267;
JL;266;
kissing;264;
проведения;264;
Коронаропластика;262;
Energy";262;
CTO;258;
внутривенная;255;
Снятие;253;
кровотока;252;
Ассистент;249;
&;248;
консультация;248;
Ослабить;248;
Дилатация;247;
"PROKinetic;247;
Клинорд;241;
оппозиция;239;
значимых;237;
Наложен;236;
позиционирован;236;
ПМЖВ;235;
приустьевой;234;
артерий;234;
Пациент;233;
сроки;232;
Логинова;232;
тактики;231;
интродьюсер;229;
Двойная;229;
уровня;228;
заведен;228;
Hydro;227;
попытки;227;
Операционная;225;
шунта;225;
наложения;225;
границе;223;
устройством;222;
к\о;222;
АЕ;222;
стандартной;220;
Иванович;218;
восстановлен;217;
Олег;217;
АИК;217;
сегмента;217;
состояние;214;
ЭХОКГ;214;
I;213;
постдилатация;213;
Sol;213;
баллонная;212;
продолжить;212;
c;211;
крупной;211;
Врачи;210;
лекарственным;209;
за;207;
Николай;205;
выполнена;204;
см;204;
реваскуляризация;202;
проводников;202;
зону;201;
клиники;200;
Анестезиолог;198;
диаметра;197;
sinistra;196;
BL;196;
ЛЖ;196;
наличии;196;
"Ultravist";194;
ОБА;193;
промежуточной;193;
АКШ;193;
линейный;193;
дилатация;192;
раны;192;
схеме;192;
среднюю;189;
сосудистого;188;
ранее;188;
защиты;187;
замок;186;
хирургии;185;
sLidocaini;185;
короткие;184;
Смена;184;
Гепариновый;183;
достижении;182;
Kaname;182;
ангиография;181;
окклюзия;181;
Виктор;181;
Для;180;
После;180;
доступа;179;
течение;178;
Стеноз;178;
ЗавНКОРХМДиЛ;177;
Грязев;176;
А;176;
Области;176;
ммртст;175;
сужения;174;
F";174;
введения;171;
устьевой;170;
переведен;170;
Никитин;169;
М";169;
определения;169;
гипоперфузирована;169;
ретроградно;168;
ЛВГА;165;
последующим;164;
перикарда;164;
ветвь;163;
хирурга;163;
Суточная;161;
Михайлович;159;
эффекта;158;
Оптимальный;158;
высокого;158;
диссекция;157;
рентгенэндоваскулярной;157;
госпитализацию;155;
краю;154;
изменена;153;
ассистент;152;
ОАРИТ№;152;
наложена;152;
определяется;152;
Cruiser;151;
компрессионной;151;
стенозированием;150;
принято;150;
минимально;150;
кардиохирурга;149;
ИБс;147;
порядка;147;
АВ;147;
Викторович;146;
ЗавотдРХМДиЛ№;145;
Magic;145;
клапана;144;
